zipcode,population,area (sq mi),pop_density
75204,26279,2.558,10273.26036
94608,28019,2.729,10267.13082
60202,31361,3.056,10262.10733
7601,43010,4.195,10252.68176
33129,13833,1.351,10239.08216
77046,1196,0.117,10222.22222
909,6230,0.61,10213.11475
1718,469,0.046,10195.65217
91343,60254,5.911,10193.53747
60620,72216,7.085,10192.80169
94086,45697,4.489,10179.77278
90701,16591,1.63,10178.52761
48825,12596,1.241,10149.87913
14619,14749,1.456,10129.80769
91340,34188,3.381,10111.80124
7105,46983,4.648,10108.21859
75219,22124,2.191,10097.6723
90061,26872,2.662,10094.66566
15224,10141,1.006,10080.5169
90221,53704,5.333,10070.12938
77036,71969,7.158,10054.34479
22041,27989,2.79,10031.89964
53715,12136,1.21,10029.75207
11010,23821,2.376,10025.6734
21223,26366,2.632,10017.4772
8542,5189,0.518,10017.37452
20002,52370,5.247,9980.94149
6605,23397,2.345,9977.398721
95211,1545,0.155,9967.741935
11003,41356,4.152,9960.500963
1105,12350,1.243,9935.639582
8609,13546,1.366,9916.544656
92801,62068,6.275,9891.314741
957,45680,4.621,9885.306211
98103,45911,4.647,9879.707338
11005,1806,0.183,9868.852459
90277,35293,3.579,9861.134395
6519,16428,1.672,9825.358852
33161,53710,5.467,9824.400951
84102,17421,1.774,9820.180383
11101,25484,2.604,9786.482335
98107,21147,2.163,9776.699029
98416,1014,0.104,9750
20064,1890,0.194,9742.268041
91932,25718,2.64,9741.666667
53233,16453,1.689,9741.267022
53706,5133,0.528,9721.590909
17102,7628,0.785,9717.197452
92139,35125,3.618,9708.402432
19145,47261,4.873,9698.542992
90069,20483,2.114,9689.214759
91201,22781,2.353,9681.682958
91744,85040,8.789,9675.731027
6604,30313,3.134,9672.303765
91770,62097,6.423,9667.912191
33136,13791,1.427,9664.330764
30308,15413,1.595,9663.322884
91104,36751,3.806,9656.069364
92627,61510,6.375,9648.627451
60621,35912,3.728,9633.04721
63108,21568,2.24,9628.571429
14607,16223,1.685,9627.893175
94603,31403,3.262,9626.916002
90012,31103,3.232,9623.45297
21216,32071,3.334,9619.376125
90032,45786,4.767,9604.782882
33137,19410,2.023,9594.661394
21213,32733,3.412,9593.493552
2110,1733,0.181,9574.585635
22304,44300,4.635,9557.713053
90242,43497,4.552,9555.579965
11561,37280,3.903,9551.626954
5439,1734,0.182,9527.472527
7621,26761,2.81,9523.487544
76402,847,0.089,9516.853933
1840,4733,0.498,9504.016064
20006,3227,0.34,9491.176471
44107,52244,5.522,9461.064832
11563,22666,2.397,9455.98665
95126,31049,3.287,9445.999392
74078,2295,0.243,9444.444444
6106,39902,4.226,9442.025556
33160,40053,4.247,9430.892395
13203,16029,1.7,9428.823529
45219,16526,1.754,9421.892816
47405,4427,0.47,9419.148936
92802,42709,4.549,9388.656848
94061,36245,3.862,9385.033661
86011,6362,0.678,9383.480826
55407,37881,4.041,9374.164811
2170,19505,2.083,9363.898224
55409,11615,1.242,9351.851852
11501,19148,2.05,9340.487805
33126,46867,5.021,9334.196375
92102,43267,4.637,9330.817339
91803,30322,3.266,9284.13962
20912,24807,2.672,9284.056886
58405,427,0.046,9282.608696
22206,19051,2.054,9275.073028
90604,39407,4.261,9248.298521
2723,14767,1.597,9246.712586
93101,31683,3.43,9237.026239
93702,48607,5.268,9226.841306
92116,31680,3.434,9225.393128
95136,42989,4.661,9223.128084
77057,39208,4.253,9218.904303
2744,11900,1.291,9217.660728
72467,303,0.033,9181.818182
11575,16272,1.781,9136.440202
92107,28651,3.137,9133.248326
60201,43125,4.724,9128.916173
2724,16908,1.858,9100.107643
60456,4349,0.479,9079.331942
53211,35406,3.903,9071.483474
80202,10148,1.12,9060.714286
33180,30840,3.405,9057.268722
20008,27525,3.04,9054.276316
6511,53600,5.932,9035.738368
7756,3342,0.37,9032.432432
1851,30190,3.345,9025.411061
94132,28129,3.119,9018.595704
92115,58560,6.501,9007.844947
94040,32996,3.67,8990.735695
95130,13911,1.548,8986.434109
91780,34332,3.827,8970.995558
92683,89747,10.005,8970.214893
90094,5464,0.61,8957.377049
90249,26669,2.978,8955.339154
2457,1432,0.16,8950
20007,26866,3.002,8949.367089
90266,35135,3.933,8933.384185
7628,17433,1.952,8930.840164
95128,34836,3.901,8930.017944
60612,33472,3.749,8928.247533
71998,321,0.036,8916.666667
10471,22922,2.571,8915.597044
70116,11507,1.292,8906.346749
7003,47312,5.314,8903.27437
21239,28793,3.235,8900.463679
7060,44998,5.062,8889.37179
33013,33852,3.813,8878.04878
2152,17497,1.972,8872.718053
19601,32998,3.726,8856.146001
55130,17575,1.985,8853.904282
91755,27496,3.107,8849.694239
97212,24126,2.729,8840.600953
92832,24752,2.803,8830.538709
21215,60161,6.813,8830.32438
2151,51808,5.873,8821.386004
87533,185,0.021,8809.52381
90008,32327,3.673,8801.252382
90240,25876,2.944,8789.402174
717,18457,2.102,8780.685062
2906,28387,3.24,8761.419753
33127,28909,3.302,8754.996972
80206,21521,2.462,8741.267262
19136,40647,4.651,8739.410879
6606,46236,5.293,8735.310788
