month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202101,94606,"oakland, ca",1717,4893,-1794,-4862,56.124052,58.50509539498889,53.743008198605466,66,0.22222222222222232,12,0.9411764705882353,32,-5,0.22439266236985622,-0.35737704918032787,1.1331,699000,-0.1412776412776413,0.04578096947935362,2.0565,1,57,94606
202101,94610,"oakland, ca",1626,4240,410,-3352,59.637193,72.10175465481572,47.17263044977396,53,0.1777777777777778,8,-0.2148148148148148,-14.5,-18,0.7865017663953031,-0.13077525450274086,1.0133,729000,0.08000000000000007,-0.17487266553480474,2.1447,1,60,94610
202101,94595,"walnut creek, ca",4345,6912,-284,-6268,45.303042,58.50509539498889,32.10098843000536,66,0.26923076923076916,14,1.2000000000000002,36,-5,0.7327817217604102,0.08820513100375527,0.7686,525000,-0.003795066413662229,-0.12859454749159716,1.5446,1,40,94595
202101,94804,"richmond, ca",1901,3045,1178,-2599,66.537047,92.05041759252165,41.0236763466401,28,-0.3563218390804598,-15.5,0.05660377358490565,1.5,-43,0.5140556439558321,0.15720552970948032,0.9077,569000,-0.02942430703624732,0.12228796844181455,1.674,0,68,94804
202101,94085,"sunnyvale, ca",5338,8204,-165,-6953,38.286338,65.63098613133094,10.941690291931652,59,0.09259259259259256,5,0.4216867469879517,17.5,-12,0.4214052719739043,-0.2852165933076153,0.4266,1175000,-0.059178097986400946,-0.1322008862629247,3.4569,1,1,94085
202101,94087,"sunnyvale, ca",480,4556,1147,-4031,57.943836,92.05041759252165,23.837253850279673,28,-0.33333333333333337,-14,-0.4862385321100917,-26.5,-43,0.5208556149732617,-0.3664916467780429,0.6394,1798888,0.0036264469523339393,-0.03438428637683155,5.2924,0,3,94087
202101,95123,"san jose, ca",333,2718,246,-2324,68.441116,90.03907746532833,46.843153781319444,32,-0.189873417721519,-7.5,0.015873015873015817,0.5,-39,0.4269711255616355,0.2179954174255334,1.0072,599999,-0.057346425765907316,-0.3043284178256864,1.7652,1,18,95123
202101,94619,"oakland, ca",4588,1579,1354,-1486,76.589916,78.469082828902,74.71075013408934,47,0.11904761904761907,5,0.20512820512820507,8,-24,1.243722506079401,0.2123179259081165,1.6658,799000,0.06675567423230966,-0.09615384615384615,2.3507,1,65,94619
202101,94607,"oakland, ca",3432,6986,1685,-3832,44.950578,81.30794575128343,8.593211248180216,44,-0.22123893805309736,-12.5,-0.4394904458598726,-34.5,-27,0.6360593121280949,-0.3995165302285387,0.3811,649000,-0.007645259938837912,-0.08462623413258108,1.9094,0,58,94607
202012,94085,"sunnyvale, ca",5338,8039,-741,-4021,39.12418,66.41347297349138,11.834887021905091,54,0.5,18,1.0377358490566038,27.5,-10,0.4764044501587472,0.5047258979206051,0.4612,1248908,-0.05742792452830192,-0.10137509093041508,3.6624,1,1,94085
202012,94607,"oakland, ca",3432,8671,286,-6284,35.007864,62.980013043311466,7.035715655810028,56.5,0.14141414141414144,7,0.07619047619047614,4,-7.5,0.2420662257217232,-0.32803638054919415,0.358,654000,-0.06437768240343344,-0.06570093858483694,1.9178,0,58,94607
